pm,keyword,score
Rajiv Gandhi,heard speeches,0.6737
Rajiv Gandhi,removed 1980 1984,0.5897
Rajiv Gandhi,counts voter counts,0.571
Rajiv Gandhi,touch pulse 1977,0.5578
Rajiv Gandhi,thank participated contribution,0.5138
Rajiv Gandhi,saviour nation fact,0.5031
Rajiv Gandhi,great depth aspect,0.4918
Rajiv Gandhi,50 cent 49,0.4835
Rajiv Gandhi,muscle power power,0.4813
Rajiv Gandhi,question decimal point,0.4679
Rajiv Gandhi,friends sitting spent,0.4609
Rajiv Gandhi,roomon,0.4358
Rajiv Gandhi,senior staff resigned,0.4027
Rajiv Gandhi,issue unity integrity,0.392
Rajiv Gandhi,punjab assam,0.3822
Rajiv Gandhi,president zia,0.7017
Rajiv Gandhi,happened possible damage,0.6026
Rajiv Gandhi,problems punjab assam,0.5987
Rajiv Gandhi,future talks committed,0.5777
Rajiv Gandhi,sri lanka dismayed,0.5565
Rajiv Gandhi,defections method place,1.0676
Rajiv Gandhi,elections fought reforms,0.5087
Rajiv Gandhi,asian region better,0.5019
Rajiv Gandhi,tension erupt riots,0.4973
Rajiv Gandhi,reasonable conclusion legislation,0.4957
Rajiv Gandhi,exchanges world help,0.4869
Rajiv Gandhi,movement founder,0.4631
Rajiv Gandhi,number refugees like,0.4566
Rajiv Gandhi,way security forces,0.4547
Rajiv Gandhi,invariably goes,0.4055
Rajiv Gandhi,remember textile policy,0.6761
Rajiv Gandhi,essential loopholes left,0.6624
Rajiv Gandhi,talks parties want,0.5725
Rajiv Gandhi,lacking economy largely,0.5409
Rajiv Gandhi,religious caste regional,0.5086
Rajiv Gandhi,farmers doing things,0.5067
Rajiv Gandhi,cultural women announced,0.5065
Rajiv Gandhi,35 progressed tremendously,0.4928
Rajiv Gandhi,taken special,0.4851
Rajiv Gandhi,prices procurement prices,0.4748
Rajiv Gandhi,education girls secondary,0.4509
Rajiv Gandhi,power youth age,0.9752000000000001
Rajiv Gandhi,does throw anybody,0.4128
Rajiv Gandhi,judicial justice justice,0.4103
Rajiv Gandhi,develop culture region,0.6796
Rajiv Gandhi,ganges say,0.6131
Rajiv Gandhi,factories polluting rivers,0.5806
Rajiv Gandhi,waste land board,0.5803
Rajiv Gandhi,organisations specially involved,0.579
Rajiv Gandhi,women announced,0.5631
Rajiv Gandhi,aimed just forestry,0.5233
Rajiv Gandhi,accident bhopal died,0.5136
Rajiv Gandhi,cleaning air,0.5132
Rajiv Gandhi,secondary,0.502
Rajiv Gandhi,vast areas devoid,0.4995
Rajiv Gandhi,free person worth,0.4736
Rajiv Gandhi,resources biggest resource,0.4677
Rajiv Gandhi,told effects terrible,0.4499
Rajiv Gandhi,legislature session defection,0.7228
Rajiv Gandhi,keen clause maintained,0.6263
Rajiv Gandhi,mentioned seven ago,0.5937
Rajiv Gandhi,moral issue decide,0.5862
Rajiv Gandhi,reforms reforms assurance,0.5834
Rajiv Gandhi,promised presidential political,0.5485
Rajiv Gandhi,lacuna,0.5426
Rajiv Gandhi,major tasks,0.5426
Rajiv Gandhi,horse trading reasons,0.5267
Rajiv Gandhi,adoption thank,0.5125
Rajiv Gandhi,33 cent,0.5012
Rajiv Gandhi,splitor defined,0.4808
Rajiv Gandhi,strength step,0.4765
Rajiv Gandhi,covered world best,0.4627
Rajiv Gandhi,needs cleaning,0.4597
Rajiv Gandhi,message president received,0.6589
Rajiv Gandhi,saddam hussain hostilities,0.5899
Rajiv Gandhi,peace stability week,0.5855
Rajiv Gandhi,chemical weapons nam,0.581
Rajiv Gandhi,mea,0.5434
Rajiv Gandhi,countries iran iraq,0.5412
Rajiv Gandhi,mission khurshid,0.5375
Rajiv Gandhi,hostilities exchange prisoners,0.5336
Rajiv Gandhi,12th june 1984,0.5185
Rajiv Gandhi,civilian ships gulf,0.5154
Rajiv Gandhi,long special,0.4846
Rajiv Gandhi,bhandari,0.4579
Rajiv Gandhi,step stop attacking,0.4522
Rajiv Gandhi,capital cities urban,0.4504
Rajiv Gandhi,alam khan,0.4471
Rajiv Gandhi,refugees tamil nadu,0.7323
Rajiv Gandhi,chief ramachandran met,0.6705
Rajiv Gandhi,jayewardene distress,0.6599
Rajiv Gandhi,lankan restoration peace,0.6568
