pm_a,pm_b,mean,ci_low,ci_high
I.K. Gujral,Narendra Modi,0.5866775,0.5759169,0.5968444
Chandra Shekhar,Narendra Modi,0.5894621,0.5725051,0.60511696
Narendra Modi,Rajiv Gandhi,0.5918146,0.5829775,0.6007409
Indira Gandhi,Narendra Modi,0.59344614,0.5886025,0.598294
Atal Bihari Vajpayee,Narendra Modi,0.59422475,0.5859827,0.60223967
Manmohan Singh,Narendra Modi,0.59478515,0.5852363,0.6036512
H.D. Deve Gowda,Narendra Modi,0.5959829,0.5832164,0.60794616
Atal Bihari Vajpayee,Chandra Shekhar,0.596492,0.58202696,0.6107539
Chandra Shekhar,I.K. Gujral,0.5968667,0.5781435,0.6155158
Chandra Shekhar,Manmohan Singh,0.6008384,0.5867477,0.6139915
Narendra Modi,V.P. Singh,0.60145146,0.5806822,0.62227666
Chandra Shekhar,Lal Bahadur Shastri,0.6020183,0.5832715,0.6200359
Chandra Shekhar,Indira Gandhi,0.60296035,0.58871764,0.6167573
Chandra Shekhar,Rajiv Gandhi,0.6032429,0.5896776,0.6177969
Narendra Modi,P.V. Narasimha Rao,0.6051156,0.59335154,0.6168649
Lal Bahadur Shastri,Narendra Modi,0.60693663,0.59669125,0.6179931
Atal Bihari Vajpayee,I.K. Gujral,0.60712695,0.59439415,0.61969054
Morarji Desai,Narendra Modi,0.60780156,0.59362805,0.62293285
Chandra Shekhar,Morarji Desai,0.6086767,0.5917481,0.62477875
Atal Bihari Vajpayee,Manmohan Singh,0.60929435,0.6000048,0.61821055
Manmohan Singh,Rajiv Gandhi,0.60965574,0.5998509,0.619279
Atal Bihari Vajpayee,Lal Bahadur Shastri,0.611277,0.5971871,0.62532413
Atal Bihari Vajpayee,Indira Gandhi,0.6113871,0.6045971,0.6188651
Jawaharlal Nehru,Narendra Modi,0.61144495,0.60654026,0.61613804
Atal Bihari Vajpayee,Rajiv Gandhi,0.6115653,0.601431,0.62114215
Manmohan Singh,Morarji Desai,0.6118527,0.60016066,0.6242315
Lal Bahadur Shastri,Manmohan Singh,0.61200476,0.5994024,0.6246187
I.K. Gujral,Rajiv Gandhi,0.6122129,0.5994373,0.6234671
I.K. Gujral,Indira Gandhi,0.61248404,0.6036854,0.62172693
Chandra Shekhar,V.P. Singh,0.61295253,0.58601373,0.64019895
Indira Gandhi,Manmohan Singh,0.61300635,0.6062231,0.61962956
Atal Bihari Vajpayee,V.P. Singh,0.6137803,0.5949058,0.63497263
Chandra Shekhar,Jawaharlal Nehru,0.6140986,0.60307014,0.62575793
Manmohan Singh,V.P. Singh,0.6141768,0.5975194,0.63202184
Indira Gandhi,Rajiv Gandhi,0.6145089,0.607004,0.6229195
